HHID,tot_local_seed,tot_improved_seed,tot_manure,tot_compost,tot_fert_dap,tot_fert_urea,tot_fert_nps,tot_fert_lime,tot_fert_blended,total_value_hh,hhi_hh,number_of_crops,cei_hh,bp_hh,season_str,IRRIGATED_HH,merge_irrigation,Qn_9_9,post_action_taken,pre_action_taken,post_number_responded,pre_number_responded,number_of_shocks,merge_shock,experienced_shock,post_action_taken_nomissing,pre_action_taken_nomissing,number_of_soil_types,farm_area,total_owned_area,proportion_owned_area,plot_dist_avg,soil_fertility_num,soil_fertility_avg,soil_slope_avg,soil_erosion_avg,soil_fertility_wgt_avg,soil_slope_wgt_avg,soil_erosion_wgt_avg,merge_soil,Qn_0_1,Qn_1_1,Qn_1_2,Qn_1_3,Qn_1_4,Qn_1_5a,skip_meal_12mo,improved_stove,number_of_parcels,own_pump,ag_ins,other_income,electricity,latitude,longitude,elevation,kebele_for_survey_match,merge_wide,dist_to_ext_service,dist_to_vet,dist_to_grazing,dist_to_output_market,dist_to_input_market,dist_to_weekly_market,dist_to_daily_market,dist_to_all_weather_road,merge_comm,liv_total_value_hh,liv_hhi_hh,number_of_liv_types,sold_livestock_12mo,merge_liv,hh_head_age,hh_head_educ,hh_spouse_educ,highest_educ,merge_i_ii,number_of_farm_equipment,tot_farm_equipment_value,merge_equipment,gifts_transfers,assistance_govt_nongovt,tot_other_income,merge_other_income,elec_use_kwh_lastmonth,merge_elec,number_of_appliances,tot_app_value,merge_appliance,river_dist,lake_dist,dist_to_water_source,merge_water_dist,soil_ph,merge_ph,group,kebele,acc,kebele_for_shp_match,merge_sites,kebele_id,pop_dens_5x5,merge_pop_dens,koppen_zone,merge_koppen
6,0,70,0,400,50,0,0,0,0,28000,1,1,0,1,Dry,1,matched (3),Dry,0,0,0,0,2,matched (3),1,0,0,1,.25,.25,1,15,1,1,1,1,1,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Hallo/Hogolcha,Qonxola,0,0,2,0,0,1,1,8.0559826,38.961128,1642,Hallo/Hogolcha,matched (3),10,15,,15,15,15,5,15,matched (3),4000,1,1,0,matched (3),25,3,2,3,matched (3),5,1900,matched (3),0,1,5400,matched (3),0,matched (3),4,1090,matched (3),1684.3956,2282.8418,1684.3956,matched (3),6.3000002,matched (3),Control(Non),Hallo/Hogolcha,0,Hallo/Hogolcha,matched (3),14,174.03992,matched (3),Trop. Savan. (Aw),matched (3)
7,10,11,,1600,,,,,,100000,.30612245,4,.67844999,2.8,Meher,0,matched (3),,,,,,,master only (1),0,0,0,1,1.5,1.5,1,5,1,1,2,2,1,2,2,matched (3),Dry,Sidama,North Sidama,Shebedino,Arsedo Mero,Lelicho,0,0,4,,0,0,0,6.8282962,38.511223,1971.7,Arsedo Mero,matched (3),1,0,,30,10,30,30,30,matched (3),90000,1,1,0,matched (3),35,7,2,7,matched (3),22,1200,matched (3),,,,master only (1),,matched (3),,,matched (3),40355.805,18668.475,18668.475,matched (3),5.9000001,matched (3),Treatment,Arsedo Mero,1,Arsedo Mero,matched (3),3,664.12274,matched (3),Temp No Dry Warm Summer (Cfb),matched (3)
8,,,,,,,,,,,,1,,,Belg,1,matched (3),,,,,,,master only (1),0,0,0,1,4,4,1,30,1,1,1,1,1,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,Chefe Kooraa,0,0,2,0,0,1,1,8.0579348,38.954605,1655.2092,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),100400,.38,3,0,matched (3),30,4,6,3,matched (3),2,1450,matched (3),1,0,2500,matched (3),0,matched (3),1,1200,matched (3),1900.2982,1606.4204,1606.4204,matched (3),6.4000001,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,148.9975,matched (3),Trop. Savan. (Aw),matched (3)
8,100,0,0,0,0,0,0,0,0,3500000,1,1,0,1,Dry,1,matched (3),,,,,,,master only (1),0,0,0,1,4,4,1,30,1,1,1,1,1,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,Chefe Kooraa,0,0,2,0,0,1,1,8.0579348,38.954605,1655.2092,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),100400,.38,3,0,matched (3),30,4,6,3,matched (3),2,1450,matched (3),1,0,2500,matched (3),0,matched (3),1,1200,matched (3),1900.2982,1606.4204,1606.4204,matched (3),6.4000001,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,148.9975,matched (3),Trop. Savan. (Aw),matched (3)
8,45,5,0,0,0,0,0,0,0,1000000,1,1,0,1,Meher,1,matched (3),Meher,0,0,0,0,3,matched (3),1,0,0,1,4,4,1,30,1,1,1,1,1,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,Chefe Kooraa,0,0,2,0,0,1,1,8.0579348,38.954605,1655.2092,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),100400,.38,3,0,matched (3),30,4,6,3,matched (3),2,1450,matched (3),1,0,2500,matched (3),0,matched (3),1,1200,matched (3),1900.2982,1606.4204,1606.4204,matched (3),6.4000001,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,148.9975,matched (3),Trop. Savan. (Aw),matched (3)
9,45,0,25,0,25,0,0,0,0,3510000,.5,2,.5,2,Meher,0,matched (3),,,,,,,master only (1),0,0,0,2,1.5,1.5,1,30,1,1.6666666,1,1,1.6666666,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,Cafe korra,1,1,2,0,0,1,1,8.0596352,38.955082,1677.1,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),5100,.65432096,2,1,matched (3),30,4,,4,matched (3),2,405,matched (3),0,0,4800,matched (3),0,matched (3),3,1595,matched (3),2088.3562,1679.9286,1679.9286,matched (3),6.1999998,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,148.9975,matched (3),Trop. Savan. (Aw),matched (3)
10,75,0,0,0,0,0,0,0,0,2480000,.33333337,3,.66666669,3,Meher,0,matched (3),,,,,,,master only (1),0,0,0,1,2,2,1,20,1,1,1,1,1,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,Cafee Kora,1,0,2,0,0,1,1,8.0597477,38.955021,1656.2793,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),22700,.44000003,3,0,matched (3),,,,4,matched (3),2,30,matched (3),1,0,30,matched (3),0,matched (3),1,40,matched (3),2100.7981,1676.0146,1676.0146,matched (3),6.1999998,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,148.9975,matched (3),Trop. Savan. (Aw),matched (3)
11,10,0,0,0,0,0,0,0,0,15000,1,1,0,1,Dry,1,matched (3),,,,,,,master only (1),0,0,0,1,1.25,1.25,1,28.75,2,2,1,1,2,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,Chafe Kora,1,1,3,0,0,1,0,8.0578432,38.959606,1665.8,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),43000,.25,4,0,matched (3),12,3,,3,matched (3),2,2700,matched (3),1,0,500,matched (3),,matched (3),2,240,matched (3),1890.1702,2125.1887,1890.1702,matched (3),6.1999998,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,174.03992,matched (3),Trop. Savan. (Aw),matched (3)
11,35,0,0,0,0,0,0,0,0,420,1,1,0,1,Meher,1,matched (3),Meher,0,0,0,0,2,matched (3),1,0,0,1,1.25,1.25,1,28.75,2,2,1,1,2,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,Chafe Kora,1,1,3,0,0,1,0,8.0578432,38.959606,1665.8,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),43000,.25,4,0,matched (3),12,3,,3,matched (3),2,2700,matched (3),1,0,500,matched (3),,matched (3),2,240,matched (3),1890.1702,2125.1887,1890.1702,matched (3),6.1999998,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,174.03992,matched (3),Trop. Savan. (Aw),matched (3)
12,10,30,0,1200,50,0,0,0,0,,.98666728,2,.029050386,1.0067568,Meher,0,matched (3),Meher,0,0,0,0,1,matched (3),1,0,0,1,.87,.87,1,24,2,1.3333334,1,1,1.4252874,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,Gilinshiya Kora,0,1,3,0,0,1,1,8.0577745,38.951611,1661.1,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),13000,1,1,0,matched (3),39,2,6,4,matched (3),4,3000,matched (3),0,1,6000,matched (3),,matched (3),1,500,matched (3),1882.5676,1294.4274,1294.4274,matched (3),6.0999999,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,143.25211,matched (3),Trop. Savan. (Aw),matched (3)
12,0,80,0,0,0,0,0,0,0,,1,1,0,1,Dry,0,matched (3),Dry,0,0,0,0,2,matched (3),1,0,0,1,.87,.87,1,24,2,1.3333334,1,1,1.4252874,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,Gilinshiya Kora,0,1,3,0,0,1,1,8.0577745,38.951611,1661.1,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),13000,1,1,0,matched (3),39,2,6,4,matched (3),4,3000,matched (3),0,1,6000,matched (3),,matched (3),1,500,matched (3),1882.5676,1294.4274,1294.4274,matched (3),6.0999999,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,143.25211,matched (3),Trop. Savan. (Aw),matched (3)
13,0,37,100,0,50,50,0,0,0,120000,1,1,0,1,Meher,0,matched (3),Meher,0,0,0,0,1,matched (3),1,0,0,2,1.5,1.5,1,15,2,2,1,1.4,2,1,1.5,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,Chafe Kora,0,1,5,0,0,1,1,8.0593834,38.955555,1652.8,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),40000,.27272728,4,0,matched (3),18,3,2,3,matched (3),3,2000,matched (3),1,0,5000,matched (3),1,matched (3),4,4250,matched (3),2060.5083,1723.6147,1723.6147,matched (3),6.1999998,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,148.9975,matched (3),Trop. Savan. (Aw),matched (3)
14,0,15,0,0,0,0,0,0,0,,1,1,0,1,Meher,1,matched (3),Meher,0,0,0,0,2,matched (3),1,0,0,1,.25,.25,1,5,1,1,1,1,1,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,Chafe Kora,0,1,1,0,0,1,1,8.0629454,38.95055,1649.2,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),20000,.68000007,2,0,matched (3),,,,4,matched (3),4,2600,matched (3),1,0,5000,matched (3),,matched (3),2,1600,matched (3),2454.4482,1331.1805,1331.1805,matched (3),6.4000001,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,148.9975,matched (3),Trop. Savan. (Aw),matched (3)
14,0,50,0,0,50,0,0,0,0,,1,1,0,1,Dry,1,matched (3),Dry,0,0,0,0,1,matched (3),1,0,0,1,.25,.25,1,5,1,1,1,1,1,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,Chafe Kora,0,1,1,0,0,1,1,8.0629454,38.95055,1649.2,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),20000,.68000007,2,0,matched (3),,,,4,matched (3),4,2600,matched (3),1,0,5000,matched (3),,matched (3),2,1600,matched (3),2454.4482,1331.1805,1331.1805,matched (3),6.4000001,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,148.9975,matched (3),Trop. Savan. (Aw),matched (3)
15,,0,,3000,0,0,0,0,0,7500000,,2,,,Meher,1,matched (3),,,,,,,master only (1),0,0,0,1,1.5,1.5,1,5,2,2,1,1.6666666,2,1,1.6666666,matched (3),Dry,Sidama,North Sidama,Shebedino,Arsedo Mero,Lelicho,0,0,4,1,0,1,0,6.8240728,38.5126,2010.5,Arsedo Mero,matched (3),1,0,,30,10,30,30,30,matched (3),60000,1,1,0,matched (3),12,2,2,4,matched (3),3,6,matched (3),0,0,50000,matched (3),0,matched (3),5,7700,matched (3),40604.977,19156.158,19156.158,matched (3),5.9000001,matched (3),Treatment,Arsedo Mero,1,Arsedo Mero,matched (3),3,634.52368,matched (3),Temp No Dry Warm Summer (Cfb),matched (3)
15,0,0,0,1500,0,0,0,0,0,120000,1,1,0,1,Dry,1,matched (3),Dry,0,1,0,1,1,matched (3),1,0,1,1,1.5,1.5,1,5,2,2,1,1.6666666,2,1,1.6666666,matched (3),Dry,Sidama,North Sidama,Shebedino,Arsedo Mero,Lelicho,0,0,4,1,0,1,0,6.8240728,38.5126,2010.5,Arsedo Mero,matched (3),1,0,,30,10,30,30,30,matched (3),60000,1,1,0,matched (3),12,2,2,4,matched (3),3,6,matched (3),0,0,50000,matched (3),0,matched (3),5,7700,matched (3),40604.977,19156.158,19156.158,matched (3),5.9000001,matched (3),Treatment,Arsedo Mero,1,Arsedo Mero,matched (3),3,634.52368,matched (3),Temp No Dry Warm Summer (Cfb),matched (3)
16,110,0,0,1100,0,0,0,0,0,44500000,.5,2,.5,2,Meher,1,matched (3),,,,,,,master only (1),0,0,0,1,2.5,2.5,1,16.5,1,1,1,1,1,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,chefe kora,0,1,4,0,0,1,1,8.0603609,38.954544,1641.0088,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),42500,.3888889,3,0,matched (3),12,2,4,7,matched (3),4,1700,matched (3),0,1,5000,matched (3),0,matched (3),1,0,matched (3),2168.6155,1641.9734,1641.9734,matched (3),6.1999998,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,148.9975,matched (3),Trop. Savan. (Aw),matched (3)
16,50,0,0,500,0,0,0,0,0,30000000,1,1,0,1,Dry,1,matched (3),Dry,0,0,0,0,2,matched (3),1,0,0,1,2.5,2.5,1,16.5,1,1,1,1,1,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,chefe kora,0,1,4,0,0,1,1,8.0603609,38.954544,1641.0088,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),42500,.3888889,3,0,matched (3),12,2,4,7,matched (3),4,1700,matched (3),0,1,5000,matched (3),0,matched (3),1,0,matched (3),2168.6155,1641.9734,1641.9734,matched (3),6.1999998,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,148.9975,matched (3),Trop. Savan. (Aw),matched (3)
17,150,0,100,20,50,0,0,25,100,4800000,.55555558,2,.45914793,1.5,Meher,1,matched (3),Meher,0,0,0,0,2,matched (3),1,0,0,1,4.5,4.5,1,30,1,1,1,1,1,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,Cafee coraa,0,1,2,1,0,1,1,8.0618534,38.952072,1654.5859,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),43000,.3888889,3,0,matched (3),,,,4,matched (3),3,1900,matched (3),0,0,20000,matched (3),0,matched (3),1,200,matched (3),2333.6785,1443.9465,1443.9465,matched (3),6.3000002,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,148.9975,matched (3),Trop. Savan. (Aw),matched (3)
17,100,0,50,0,25,0,0,25,50,900000,1,1,0,1,Dry,1,matched (3),Dry,0,0,0,0,1,matched (3),1,0,0,1,4.5,4.5,1,30,1,1,1,1,1,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,Cafee coraa,0,1,2,1,0,1,1,8.0618534,38.952072,1654.5859,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),43000,.3888889,3,0,matched (3),,,,4,matched (3),3,1900,matched (3),0,0,20000,matched (3),0,matched (3),1,200,matched (3),2333.6785,1443.9465,1443.9465,matched (3),6.3000002,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,148.9975,matched (3),Trop. Savan. (Aw),matched (3)
17,,,,,,,,,,,1,1,0,1,Belg,1,matched (3),,,,,,,master only (1),0,0,0,1,4.5,4.5,1,30,1,1,1,1,1,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,Cafee coraa,0,1,2,1,0,1,1,8.0618534,38.952072,1654.5859,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),43000,.3888889,3,0,matched (3),,,,4,matched (3),3,1900,matched (3),0,0,20000,matched (3),0,matched (3),1,200,matched (3),2333.6785,1443.9465,1443.9465,matched (3),6.3000002,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,148.9975,matched (3),Trop. Savan. (Aw),matched (3)
18,15,50,0,60,0,0,0,0,0,1500000,.5,2,.5,2,Meher,0,matched (3),,,,,,,master only (1),0,0,0,1,2,2,1,15,1,1,1,1,1,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,Caffee koraa,0,1,2,1,0,1,1,8.061697,38.95219,1637.9126,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),72000,.36000001,3,0,matched (3),10,2,2,4,matched (3),2,2300,matched (3),0,0,3000,matched (3),0,matched (3),2,2150,matched (3),2316.3813,1450.2128,1450.2128,matched (3),6.3000002,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,148.9975,matched (3),Trop. Savan. (Aw),matched (3)
19,,,,,,,,,,,1,1,0,1,Belg,1,matched (3),,,,,,,master only (1),0,0,0,1,.25,.25,1,20,1,1,1,1,1,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,chefe kora,1,1,1,0,0,1,1,8.0578318,38.957039,1644.1521,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),23000,.36000001,3,0,matched (3),12,2,3,3,matched (3),2,800,matched (3),1,0,2,matched (3),0,matched (3),3,0,matched (3),1888.9082,1858.4015,1858.4015,matched (3),6.3000002,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,143.25211,matched (3),Trop. Savan. (Aw),matched (3)
19,50,0,25,500,25,0,0,0,0,2400000,1,1,0,1,Dry,1,matched (3),Dry,0,0,0,0,1,matched (3),1,0,0,1,.25,.25,1,20,1,1,1,1,1,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,chefe kora,1,1,1,0,0,1,1,8.0578318,38.957039,1644.1521,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),23000,.36000001,3,0,matched (3),12,2,3,3,matched (3),2,800,matched (3),1,0,2,matched (3),0,matched (3),3,0,matched (3),1888.9082,1858.4015,1858.4015,matched (3),6.3000002,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,143.25211,matched (3),Trop. Savan. (Aw),matched (3)
19,12,0,25,4,25,0,0,0,0,0,1,1,0,1,Meher,1,matched (3),,,,,,,master only (1),0,0,0,1,.25,.25,1,20,1,1,1,1,1,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,chefe kora,1,1,1,0,0,1,1,8.0578318,38.957039,1644.1521,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),23000,.36000001,3,0,matched (3),12,2,3,3,matched (3),2,800,matched (3),1,0,2,matched (3),0,matched (3),3,0,matched (3),1888.9082,1858.4015,1858.4015,matched (3),6.3000002,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,143.25211,matched (3),Trop. Savan. (Aw),matched (3)
